date, pm25, pm10, no2, co
2020/5/2, 55, 10, 12, 
2020/5/3, 25, 10, 9, 
2020/5/4, 34, 12, 21, 
2020/5/5, 38, 18, 24, 
2020/5/6, 42, 20, 19, 
2020/5/7, 42, , , 
2020/4/2, 61, 30, 29, 
2020/4/3, 82, 38, 36, 
2020/4/4, 102, 43, 30, 
2020/4/5, 107, 28, 21, 
2020/4/6, 78, 21, 32, 
2020/4/7, 76, 37, 49, 
2020/4/8, 80, 35, 31, 
2020/4/9, 72, 30, 31, 
2020/4/10, 70, 33, 32, 
2020/4/11, 59, 24, 30, 
2020/4/12, 59, 12, 18, 
2020/4/13, 38, 18, 16, 
2020/4/14, 53, 20, 13, 
2020/4/15, 53, 19, 13, 
2020/4/16, 34, 31, 24, 
2020/4/17, 61, 13, 29, 
2020/4/18, 34, 22, 17, 
2020/4/19, 38, 20, 12, 
2020/4/20, 34, 18, 11, 
2020/4/21, 63, 22, 14, 
2020/4/22, 65, 14, 23, 
2020/4/23, 68, 31, 25, 
2020/4/24, 76, 32, 29, 
2020/4/25, 78, 18, 11, 
2020/4/26, 46, 13, 8, 
2020/4/27, 30, 13, 13, 
2020/4/28, 30, 13, 19, 
2020/4/29, 42, 9, 15, 
2020/4/30, 34, 16, 14, 
2020/5/1, 50, 17, 10, 
2020/3/4, 70, 27, 41, 
2020/3/5, 74, 25, 31, 
2020/3/6, 65, 29, 33, 
2020/3/7, 74, 34, 38, 
2020/3/8, 91, 20, 30, 
2020/3/9, 63, 30, 33, 
2020/3/10, 76, 31, 39, 
2020/3/11, 72, 23, 34, 
2020/3/12, 50, 29, 30, 
2020/3/13, 65, 15, 23, 
2020/3/14, 30, 27, 15, 
2020/3/15, 93, 23, 22, 
2020/3/16, 65, 28, 26, 
2020/3/17, 80, 40, 26, 
2020/3/18, 97, 45, 38, 
2020/3/19, 112, 42, 39, 
2020/3/20, 102, 49, 35, 
2020/3/21, 114, 33, 26, 
2020/3/22, 78, 30, 9, 
2020/3/23, 78, 20, 16, 
2020/3/24, 53, 22, 24, 
2020/3/25, 57, 20, 17, 
2020/3/26, 55, 21, 19, 
2020/3/27, 59, , 19, 
2020/3/29, 76, 67, 22, 
2020/3/30, 76, 67, 17, 
2020/3/31, 76, , 11, 
2020/2/2, 153, 46, 25, 
2020/2/3, 89, 49, 37, 
2020/2/4, 107, 48, 22, 
2020/2/5, 99, 23, 43, 
2020/2/6, 61, 33, 41, 
2020/2/7, 78, 50, 48, 
2020/2/8, 95, 55, 41, 
2020/2/9, 127, 66, 41, 
2020/2/10, 158, 59, 35, 
2020/2/11, 153, 41, 39, 
2020/2/12, 87, 29, 51, 
2020/2/13, 59, 45, 33, 
2020/2/14, 74, 34, 42, 
2020/2/15, 95, 57, 35, 
2020/2/16, 139, 55, 33, 
