date, pm25, o3, no2, co
2020/5/2, 15, 34, 5, 1
2020/5/3, 21, 43, 9, 2
2020/5/4, 36, 36, 12, 1
2020/5/5, 21, 37, 10, 1
2020/5/6, 16, 32, 17, 1
2020/5/7, 20, 37, 14, 2
2020/5/8, 18, , 8, 
2020/5/9, 19, , , 
2020/4/2, 20, , 6, 
2020/4/3, 14, , 6, 
2020/4/4, 13, , 8, 
2020/4/5, 14, , 19, 
2020/4/6, 41, , 9, 
2020/4/7, 25, , 12, 
2020/4/8, 27, , 16, 
2020/4/9, 41, , 12, 
2020/4/10, 24, , 6, 
2020/4/11, 20, , 7, 
2020/4/12, 26, , 16, 
2020/4/13, 39, , 7, 
2020/4/14, 29, , 8, 
2020/4/15, 15, 34, 7, 
2020/4/16, 26, 33, 8, 1
2020/4/17, 25, 36, 12, 2
2020/4/18, 24, 31, 10, 2
2020/4/19, 22, 40, 12, 2
2020/4/20, 38, 32, 13, 2
2020/4/21, 21, 30, 8, 1
2020/4/22, 20, 31, , 
2020/4/23, 13, 25, , 
2020/4/24, 22, 22, 15, 2
2020/4/25, 20, 12, 17, 2
2020/4/26, 33, , 7, 
2020/4/27, 16, , 8, 
2020/4/28, 8, , 10, 
2020/4/29, 17, , 13, 
2020/4/30, 22, , 8, 
2020/5/1, 22, 33, 15, 2
2020/3/2, 30, , 28, 
2020/3/3, 39, , 23, 
2020/3/4, 37, , 10, 
2020/3/5, 20, , 12, 
2020/3/6, 25, , 19, 
2020/3/7, 30, , 10, 
2020/3/8, 24, , 13, 
2020/3/9, 27, , 24, 
2020/3/10, 47, , 21, 
2020/3/11, 43, , 15, 
2020/3/12, 26, , 19, 
2020/3/13, 39, , 13, 
2020/3/14, 28, , 7, 
2020/3/15, 28, , 7, 
2020/3/16, 22, , 11, 
2020/3/17, 22, , 20, 
2020/3/18, 33, , 14, 
2020/3/19, 29, , 16, 
2020/3/20, 22, , 21, 
2020/3/21, 41, , 5, 
2020/3/22, 22, , 7, 
2020/3/23, 29, , 12, 
2020/3/24, 21, , 10, 
2020/3/25, 20, , 9, 
2020/3/26, 24, , 16, 
2020/3/27, 30, , 16, 
2020/3/28, 37, , 10, 
2020/3/29, 26, , 4, 
2020/3/30, 11, , 16, 
2020/3/31, 24, , 10, 
2020/4/1, 16, , 8, 
2020/2/2, 53, , 17, 
2020/2/3, 46, , 25, 
2020/2/4, 55, , 37, 
2020/2/5, 67, , 26, 
2020/2/6, 26, , 19, 
2020/2/7, 29, , 15, 
2020/2/8, 33, , 13, 
2020/2/9, 47, , , 
2020/2/10, 49, , , 
2020/2/11, 38, , , 
2020/2/12, 48, , , 
2020/2/13, 42, , , 
2020/2/14, 41, , , 
2020/2/15, 40, , , 
2020/2/16, 32, , , 
2020/2/17, 47, , , 
2020/2/18, 50, , , 
2020/2/19, 46, , 11, 
2020/2/20, 38, , 11, 
2020/2/21, 32, , 14, 
2020/2/22, 32, , 23, 
2020/2/23, 38, , , 
2020/2/24, 47, , 29, 
2020/2/25, 59, , 30, 
2020/2/26, 45, , , 
2020/2/27, 23, , , 
2020/2/28, 23, , , 
2020/2/29, 29, , , 
2020/3/1, 26, , 13, 
2020/1/2, 40, , 30, 
2020/1/3, 59, , 30, 
2020/1/4, 66, , 22, 
2020/1/5, 57, , 8, 
2020/1/6, 40, , 22, 
2020/1/7, 52, , 23, 
2020/1/8, 49, , 15, 
2020/1/9, 49, , 18, 
2020/1/10, 46, , 29, 
2020/1/11, 51, , 23, 
2020/1/12, 53, , 8, 
2020/1/13, 46, , 18, 
2020/1/14, 49, , 22, 
2020/1/15, 42, , 20, 
2020/1/16, 58, , 12, 
2020/1/17, 46, , 9, 
2020/1/18, 42, , 22, 
2020/1/19, 32, , 12, 
2020/1/20, 42, , 11, 
2020/1/21, 35, , 18, 
2020/1/22, 39, , 37, 
2020/1/23, 54, , 43, 
2020/1/24, 73, , 43, 
2020/1/25, 78, , 16, 
2020/1/26, 36, , 15, 
2020/1/27, 36, , 16, 
2020/1/28, 40, , 11, 
2020/1/29, 34, , 12, 
2020/1/30, 32, , 22, 
2020/1/31, 39, , 35, 
2020/2/1, 53, , 30, 
2019/10/2, 33, 44, 14, 2
2019/10/3, 48, 16, 11, 2
2019/10/4, 25, 20, 9, 1
2019/10/5, 21, 23, 7, 1
2019/10/6, 26, , 12, 
2019/10/7, 28, , 12, 
2019/10/8, 25, , 7, 
2019/10/9, 17, , 6, 
2019/10/10, 18, , 6, 
2019/10/11, 16, , 6, 
2019/10/12, 17, , 9, 
2019/10/13, 26, , 10, 
2019/10/14, 29, , 14, 
2019/10/15, 38, , 15, 
2019/10/16, 34, , 19, 
2019/10/17, 27, , 5, 
2019/10/18, 15, , 6, 
2019/10/19, 21, , 16, 
2019/10/20, 36, , 21, 
2019/10/21, 47, , 19, 
2019/10/22, 33, , 17, 
2019/10/23, 15, , 11, 
2019/10/24, 28, , 19, 
2019/10/25, 28, , 32, 
2019/10/26, 52, , 13, 
2019/10/27, 39, , 10, 
2019/10/28, 21, , 12, 
2019/10/29, 27, , 13, 
2019/10/30, 23, , 13, 
2019/10/31, 25, , 12, 
2019/11/1, 26, , 7, 
2019/11/2, 27, , 13, 
2019/11/3, 25, , 12, 
2019/11/4, 35, , 19, 
2019/11/5, 31, , 25, 
2019/11/6, 45, , 17, 
2019/11/7, 42, , 26, 
2019/11/8, 37, , 9, 
2019/11/9, 23, , 17, 
2019/11/10, 20, , 23, 
2019/11/11, 40, , 39, 
2019/11/12, 71, , 14, 
2019/11/13, 32, , 13, 
2019/11/14, 18, , 30, 
2019/11/15, 25, , 30, 
2019/11/16, 46, , 11, 
2019/11/17, 28, , 12, 
2019/11/18, 22, , 18, 
2019/11/19, 26, , 19, 
2019/11/20, 33, , 14, 
2019/11/21, 34, , 25, 
2019/11/22, 52, , 20, 
2019/11/23, 47, , 19, 
2019/11/24, 32, , 15, 
2019/11/25, 31, , 26, 
2019/11/26, 59, , 44, 
2019/11/27, 62, , 34, 
2019/11/28, 59, , 6, 
2019/11/29, 26, , 8, 
2019/11/30, 19, , , 
2019/12/1, 27, , , 
2019/12/2, 24, , 14, 
2019/12/3, 22, , 13, 
2019/12/4, 32, , 24, 
2019/12/5, 47, , 15, 
2019/12/6, 40, , 19, 
2019/12/7, 36, , 12, 
2019/12/8, 37, , 21, 
2019/12/9, 35, , 29, 
2019/12/10, 37, , 16, 
2019/12/11, 52, , 16, 
2019/12/12, 34, , 22, 
2019/12/13, 56, , 33, 
2019/12/14, 48, , 18, 
2019/12/15, 38, , 10, 
2019/12/16, 42, , 19, 
2019/12/17, 49, , 20, 
2019/12/18, 38, , 16, 
2019/12/19, 41, , 11, 
2019/12/20, 57, , 19, 
2019/12/21, 46, , 31, 
2019/12/22, 52, , 30, 
2019/12/23, 68, , 38, 
2019/12/24, 75, , 22, 
2019/12/25, 50, , 29, 
2019/12/26, 54, , 24, 
2019/12/27, 65, , 30, 
2019/12/28, 53, , 19, 
2019/12/29, 58, , , 
2019/12/30, 54, , , 
2019/7/2, 19, 500, 10, 
2019/7/3, 49, 500, 12, 
2019/7/4, 57, 500, 17, 
2019/7/5, 84, 500, 9, 
2019/7/6, 56, 500, 10, 
2019/7/7, 38, 500, 6, 
2019/7/8, 41, 500, 9, 
2019/7/9, 47, 500, 12, 
2019/7/10, 49, 500, 15, 
2019/7/11, 65, , 14, 
2019/7/12, 40, , 8, 
2019/7/13, 28, , 6, 
2019/7/14, 35, , 7, 
2019/7/15, 35, , 8, 
2019/7/16, 22, , 18, 
2019/7/17, 45, 62, 17, 3
2019/7/18, 55, 26, 14, 2
2019/7/19, 42, 57, 11, 3
2019/7/20, 52, 42, 10, 2
2019/7/21, 57, 36, 9, 2
2019/7/22, 54, 43, 13, 2
2019/7/23, 34, 24, 12, 2
2019/7/24, 12, 15, 10, 1
2019/7/25, 31, , 13, 
2019/7/26, 42, , 17, 
2019/7/27, 46, , 17, 
2019/7/28, 49, , 8, 
2019/7/29, 65, , 12, 
2019/7/30, 88, , 16, 
2019/7/31, 95, , 23, 
2019/8/1, 91, , 14, 
2019/8/2, 40, , 19, 
2019/8/3, 43, , 9, 
2019/8/4, 34, , 9, 
2019/8/5, 37, , 11, 
2019/8/6, 38, , 14, 
2019/8/7, 46, , 15, 
2019/8/8, 45, , 11, 
2019/8/9, 47, , 11, 
2019/8/10, 33, , 6, 
2019/8/11, 18, , 6, 
2019/8/12, 21, , 15, 
2019/8/13, 37, , 17, 
2019/8/14, 55, , 14, 
2019/8/15, 69, , 11, 
2019/8/16, 53, , 13, 
2019/8/17, 24, , 11, 
2019/8/18, 16, , 13, 
2019/8/19, 26, , 23, 
2019/8/20, 29, , 17, 
2019/8/21, 26, 44, 7, 2
2019/8/22, 30, 49, 13, 2
2019/8/23, 35, 25, 18, 2
2019/8/24, 23, 26, 7, 1
2019/8/25, 13, 23, 5, 1
2019/8/26, 12, 31, 10, 1
2019/8/27, 17, 4, 14, 4
2019/8/28, 25, , 10, 
2019/8/29, 22, , 8, 
2019/8/30, 22, , 16, 
2019/8/31, 40, , 7, 
2019/9/1, 23, , 6, 
2019/9/2, 20, , 8, 
2019/9/3, 27, , 10, 
2019/9/4, 39, , 12, 
2019/9/5, 44, , 8, 
2019/9/6, 23, , 10, 
2019/9/7, 13, , 6, 
2019/9/8, 27, , 8, 
2019/9/9, 41, , 10, 
2019/9/10, 23, , 13, 
2019/9/11, 26, 35, 14, 3
2019/9/12, 44, 29, 11, 2
2019/9/13, 45, 22, 8, 2
2019/9/14, 18, 25, 13, 2
2019/9/15, 27, 35, 10, 2
2019/9/16, 30, 28, 18, 3
2019/9/17, 46, 30, , 1
2019/9/18, 19, , , 
2019/9/19, 21, , , 
2019/9/20, 26, , , 
2019/9/21, 46, , , 
2019/9/22, 55, , , 
2019/9/23, 60, 24, 18, 
2019/9/24, 47, 26, , 1
2019/9/25, 20, 31, , 2
2019/9/26, 35, 33, 12, 3
2019/9/27, 46, 29, 15, 2
2019/9/28, 25, 37, 7, 2
2019/9/29, 38, 30, 8, 2
2019/9/30, 34, 25, 8, 1
2019/10/1, 23, 35, 14, 2
2019/4/2, 18, 500, 18, 
2019/4/3, 23, 500, 11, 
2019/4/4, 29, 500, 11, 
2019/4/5, 25, 500, 16, 
2019/4/6, 21, 500, 14, 
2019/4/7, 40, 500, 27, 
2019/4/8, 40, 500, 26, 
2019/4/9, 30, 500, 18, 
2019/4/10, 15, 468, 11, 
2019/4/11, 12, 500, 16, 
2019/4/12, 22, 500, 19, 
2019/4/13, 34, 500, 9, 
2019/4/14, 39, 500, 19, 1
2019/4/15, 22, 207, 27, 2
2019/4/16, 25, 385, 7, 1
2019/4/17, 13, 210, 22, 1
2019/4/18, 33, 150, 13, 1
2019/4/19, 116, 88, 14, 2
2019/4/20, 35, 500, 18, 1
2019/4/21, 28, 500, , 
2019/4/22, 26, 500, 3, 
2019/4/23, 30, 500, 17, 2
2019/4/24, 32, 308, 9, 1
2019/4/25, 27, 500, 16, 2
2019/4/26, 19, 500, 12, 2
2019/4/27, 24, 500, 6, 1
2019/4/28, 22, 500, 11, 1
2019/4/29, 13, 498, 14, 1
2019/4/30, 15, 500, 22, 
2019/5/1, 42, 493, 16, 
2019/5/2, 20, 500, 21, 
2019/5/3, 42, 500, 16, 
2019/5/4, 28, 500, 21, 
2019/5/5, 49, 500, 9, 
2019/5/6, 11, 500, 12, 
2019/5/7, 20, 500, 5, 
2019/5/8, 27, 500, 2, 
2019/5/9, 33, 500, 10, 
2019/5/10, 15, 500, 20, 
2019/5/11, 21, 500, 8, 
2019/5/12, 12, 500, 8, 
2019/5/13, 5, 500, 13, 
2019/5/14, 8, 500, 16, 
2019/5/15, 18, 500, 11, 
2019/5/16, 19, 500, 18, 
2019/5/17, 36, 500, 24, 
2019/5/18, 54, 500, 7, 
2019/5/19, 32, 500, 12, 
2019/5/20, 33, 500, 15, 
2019/5/21, 45, 500, 5, 
2019/5/22, 11, 500, 10, 
2019/5/23, 16, 500, 20, 
2019/5/24, 24, 500, 6, 
2019/5/25, 13, 500, 6, 
2019/5/26, 11, 500, 6, 
2019/5/27, 30, 500, 5, 
2019/5/28, 22, 500, 17, 
2019/5/29, 40, 500, 15, 1
2019/5/30, 22, 500, 18, 2
2019/5/31, 21, 500, 13, 2
2019/6/1, 40, 500, 14, 3
2019/6/2, 48, 500, 12, 2
2019/6/3, 44, 500, 6, 1
2019/6/4, 11, 500, 6, 1
2019/6/5, 15, 500, 19, 3
2019/6/6, 45, 500, 8, 2
2019/6/7, 28, 500, 11, 3
2019/6/8, 43, 500, 3, 3
2019/6/9, 26, 500, 3, 1
2019/6/10, 17, 500, 1, 1
2019/6/11, 32, 500, , 1
2019/6/12, 12, 500, 1, 
2019/6/13, 17, 500, 1, 
2019/6/14, 12, 500, 2, 
2019/6/15, 18, 500, 5, 
2019/6/16, 25, 500, 5, 
2019/6/17, 39, 500, 3, 3
2019/6/18, 40, 500, , 3
2019/6/19, 43, 486, , 2
2019/6/20, 24, 500, 3, 3
2019/6/21, 39, 500, 2, 1
2019/6/22, 18, 500, 3, 1
2019/6/23, 17, 500, , 1
2019/6/24, 19, 500, 4, 2
2019/6/25, 49, 500, 2, 2
2019/6/26, 56, 500, 5, 2
2019/6/27, 46, 500, 1, 2
2019/6/28, 35, 500, 6, 2
2019/6/29, 41, 500, 5, 2
2019/6/30, 48, 500, 3, 1
2019/7/1, 21, 500, 6, 1
2019/1/2, 40, , , 
2019/1/3, 62, , , 
2019/1/4, 49, , , 
2019/1/5, 64, , , 
2019/1/6, 44, , , 
2019/1/7, 51, , , 
2019/1/8, 33, , , 
2019/1/9, 53, , , 
2019/1/10, 47, , , 
2019/1/11, 45, , , 
2019/1/12, 42, , , 
2019/1/13, 42, , , 
2019/1/14, 40, , , 
2019/1/15, 47, , , 
2019/1/16, 58, , , 
2019/1/17, 64, , , 
2019/1/18, 33, , , 
2019/1/19, 58, , , 
2019/1/20, 43, , , 
2019/1/21, 34, , , 
2019/1/22, 49, , , 
2019/1/23, 51, , , 
2019/1/24, 46, , , 
2019/1/25, 39, , , 
2019/1/26, 48, , , 
2019/1/27, 44, , , 
2019/1/28, 45, , , 
2019/1/29, 44, , , 
2019/1/30, 50, , , 
2019/1/31, 52, , , 
2019/2/1, 64, , , 
2019/2/2, 49, , , 
2019/2/3, 60, 500, 7, 
2019/2/4, 70, 500, , 
2019/2/5, 68, 500, , 
2019/2/6, 71, 500, 5, 
2019/2/7, 29, 500, , 
2019/2/8, 33, 500, 4, 
2019/2/9, 41, 500, 3, 
2019/2/10, 40, 500, , 
2019/2/11, 29, 500, , 
2019/2/12, 47, 484, 1, 
2019/2/13, 23, 500, 4, 
2019/2/14, 55, 500, 6, 
2019/2/15, 48, 500, , 
2019/2/16, 51, 500, 3, 
2019/2/17, 28, 500, 6, 
2019/2/18, 12, 500, 7, 
2019/2/19, 32, 500, 5, 
2019/2/20, 27, 500, , 
2019/2/21, 27, 500, 20, 
2019/2/22, 36, 500, 14, 
2019/2/23, 45, 500, 19, 
2019/2/24, 39, 500, 16, 
2019/2/25, 27, 500, 7, 
2019/2/26, 43, 463, 9, 
2019/2/27, 39, 459, 13, 
2019/2/28, 18, 500, 16, 
2019/3/1, 35, 500, 19, 
2019/3/2, 40, 500, 21, 
2019/3/3, 46, 500, 20, 
2019/3/4, 48, 500, 6, 
2019/3/5, 38, 500, 7, 
2019/3/6, 39, 500, 6, 
2019/3/7, 38, 500, 7, 
2019/3/8, 38, 500, , 
2019/3/9, 39, 500, 24, 
2019/3/10, 48, 500, 22, 
2019/3/11, 32, 500, 13, 
2019/3/12, 28, 500, 9, 
2019/3/13, 31, 500, 30, 
2019/3/14, 43, 500, 26, 
2019/3/15, 34, 446, 28, 
2019/3/16, 53, 260, 8, 
2019/3/17, 23, 308, 9, 
2019/3/18, 20, 500, 24, 
